Songs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
3 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012244897959183673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004608294930875576,0.0,0.0,0.008064516129032258,0.026263952724885097,0.0,0.030690537084398978,0.0,0.0,0.0,0.0,0.018867924528301886,0.0,0.007371007371007371,0.0,0.0,0.0,0.0,0.04021739130434782,0.008928571428571428,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0234375,0.03125,0.017857142857142856,0.0,0.029197080291970802,0.0,0.0,0.01968503937007874,0.0,0.03125,0.0,0.025,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.008849557522123894,0.05952380952380952,0.0,0.007017543859649123,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0035587188612099642,0.0,0.0,0.03409090909090909,0.0,0.054439746300211415,0.004291845493562232,0.0,0.0,0.0,0.0635593220338983,0.006329113924050633,0.024691358024691357,0.019230769230769232,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012244897959183673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004608294930875576,0.0,0.0,0.008064516129032258,0.021667760998030205,0.0,0.030690537084398978,0.0,0.0,0.0,0.0,0.025157232704402517,0.0,0.014742014742014743,0.0,0.0,0.0,0.0,0.021195652173913043,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.03773584905660377,0.0,0.0,0.0,0.0,0.0,0.03125,0.0625,0.008928571428571428,0.0,0.029197080291970802,0.0,0.0,0.03937007874015748,0.0,0.03125,0.0,0.025,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.017699115044247787,0.03571428571428571,0.0,0.007017543859649123,0.0,0.006191950464396285,0.0,0.0,0.0,0.0071174377224199285,0.0,0.0,0.030303030303030304,0.0,0.056025369978858354,0.008583690987124463,0.0,0.0,0.0,0.03389830508474576,0.012658227848101266,0.012345679012345678,0.0219017094017094,0.0,0.02702702702702703,0.0,0.0,0.0,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 11,0.0,0.0,0.0,0.0,0.003527336860670194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008535784635587657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007371007371007371,0.0,0.0,0.0,0.021257750221434897,0.01684782608695652,0.0,0.0,0.0,0.0,0.006349206349206349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008928571428571428,0.0,0.0,0.0,0.0,0.0,0.009389671361502348,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006191950464396285,0.0,0.0,0.017543859649122806,0.0029655990510083037,0.0,0.0,0.003787878787878788,0.0,0.013742071881606765,0.0,0.0,0.0,0.06060606060606061,0.00423728813559322,0.0,0.012345679012345678,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.021447721179624665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 0,0.17358490566037735,0.10571736785329018,0.05447878470403353,0.11661807580174927,0.029982363315696647,0.09322033898305085,0.028391167192429023,0.08163265306122448,0.08275862068965517,0.13592233009708737,0.16363636363636364,0.1553784860557769,0.05747126436781609,0.064891846921797,0.06477732793522267,0.08455882352941177,0.044797687861271675,0.06820276497695853,0.06570512820512821,0.06097560975609756,0.08736559139784947,0.23768877216021012,0.04499274310595065,0.09846547314578005,0.1736111111111111,0.0625,0.2916666666666667,0.072992700729927,0.0649895178197065,0.06766917293233082,0.07125307125307126,0.08450704225352113,0.16796875,0.12671905697445973,0.045394154118689106,0.07336956521739131,0.10267857142857142,0.09889240506329114,0.08644859813084112,0.09631728045325778,0.0380952380952381,0.0730804810360777,0.14465408805031446,0.06363636363636363,0.2426470588235294,0.234375,0.1608695652173913,0.1620795107033639,0.109375,0.21875,0.10714285714285714,0.044753086419753084,0.09124087591240876,0.08860759493670886,0.26380368098159507,0.18110236220472442,0.19718309859154928,0.2734375,0.11,0.1125,0.23076923076923078,0.19375,0.15476190476190477,0.1308411214953271,0.08974358974358974,0.11186440677966102,0.17234848484848486,0.15476190476190477,0.14772727272727273,0.15178571428571427,0.06944444444444445,0.23893805309734514,0.17857142857142858,0.11538461538461539,0.07017543859649122,0.1519434628975265,0.1609907120743034,0.06153846153846154,0.14511041009463724,0.10526315789473684,0.15243179122182682,0.18620689655172415,0.17857142857142858,0.07954545454545454,0.125,0.24841437632135308,0.1630901287553648,0.13636363636363635,0.14285714285714285,0.09848484848484848,0.17796610169491525,0.12658227848101267,0.037037037037037035,0.19230769230769232,0.15625,0.10810810810810811,0.06666666666666667,0.06302521008403361,0.0,0.1111111111111111,0.04289544235924933,0.05013927576601671,0.0,0.0,0.0,0.0,0.0,0.0
4 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 2,0.13584905660377358,0.18878101402373246,0.16343635411210058,0.2434402332361516,0.11816578483245149,0.1483050847457627,0.08123028391167192,0.20204081632653062,0.1724137931034483,0.2766990291262136,0.21363636363636362,0.1593625498007968,0.19540229885057472,0.2237936772046589,0.3147773279352227,0.24080882352941177,0.12861271676300579,0.2064516129032258,0.23477564102564102,0.18791574279379158,0.23051075268817203,0.3164806303348654,0.13570391872278664,0.22634271099744246,0.3715277777777778,0.25,0.3854166666666667,0.24817518248175183,0.3333333333333333,0.11654135338345864,0.1726044226044226,0.09859154929577464,0.279296875,0.21218074656188604,0.09521700620017715,0.17391304347826086,0.26339285714285715,0.17919303797468356,0.19742990654205608,0.14825306893295562,0.09523809523809523,0.0786308973172988,0.20754716981132076,0.2,0.3602941176470588,0.26171875,0.14869565217391303,0.3302752293577982,0.265625,0.375,0.26785714285714285,0.05246913580246913,0.1386861313868613,0.3338607594936709,0.3098159509202454,0.3425196850393701,0.2112676056338028,0.3671875,0.4375,0.2375,0.2806652806652807,0.26875,0.36904761904761907,0.3411214953271028,0.1987179487179487,0.376271186440678,0.17329545454545456,0.39880952380952384,0.36363636363636365,0.29464285714285715,0.22916666666666666,0.34513274336283184,0.3869047619047619,0.33076923076923076,0.17543859649122806,0.26148409893992935,0.3560371517027864,0.13846153846153847,0.20504731861198738,0.22807017543859648,0.2568208778173191,0.18275862068965518,0.23214285714285715,0.20833333333333334,0.3173076923076923,0.33192389006342493,0.23390557939914164,0.26262626262626265,0.34285714285714286,0.2196969696969697,0.21610169491525424,0.14873417721518986,0.05555555555555555,0.18482905982905984,0.21875,0.2972972972972973,0.14583333333333334,0.07352941176470588,0.13541666666666666,0.18888888888888888,0.06970509383378017,0.06406685236768801,0.052098408104196824,0.04819277108433735,0.0,0.011799410029498525,0.0,0.030303030303030304
4 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007518796992481203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02996845425867508,0.0,0.0,0.10344827586206896,0.05357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.05303030303030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 4,0.11320754716981132,0.2538655160014383,0.1037192247249869,0.2021379980563654,0.1146384479717813,0.25,0.0749211356466877,0.1357142857142857,0.20689655172413793,0.20711974110032363,0.16590909090909092,0.2350597609561753,0.1752873563218391,0.1605657237936772,0.25809716599190285,0.2610294117647059,0.13872832369942195,0.1663594470046083,0.1674679487179487,0.20787139689578715,0.2654569892473118,0.2071569271175312,0.05878084179970972,0.149616368286445,0.20833333333333334,0.40625,0.3125,0.1411192214111922,0.09643605870020965,0.16165413533834586,0.1726044226044226,0.19014084507042253,0.189453125,0.206286836935167,0.11514614703277236,0.1375,0.13616071428571427,0.24287974683544303,0.24065420560747663,0.22096317280453256,0.10952380952380952,0.12025901942645699,0.0880503144654088,0.2681818181818182,0.20955882352941177,0.3046875,0.21130434782608695,0.3103975535168196,0.17578125,0.171875,0.3169642857142857,0.07561728395061729,0.24087591240875914,0.254746835443038,0.22699386503067484,0.3031496062992126,0.29577464788732394,0.234375,0.225,0.125,0.19750519750519752,0.1375,0.38095238095238093,0.2336448598130841,0.28205128205128205,0.31186440677966104,0.22727272727272727,0.23214285714285715,0.32954545454545453,0.33035714285714285,0.3055555555555556,0.20353982300884957,0.19642857142857142,0.27692307692307694,0.14385964912280702,0.2332155477031802,0.23684210526315788,0.18461538461538463,0.27287066246056785,0.19298245614035087,0.20670225385527877,0.16551724137931034,0.19047619047619047,0.17803030303030304,0.14423076923076922,0.19503171247357293,0.19098712446351931,0.23232323232323232,0.29285714285714287,0.11363636363636363,0.211864406779661,0.12341772151898735,0.10493827160493827,0.10950854700854701,0.21875,0.16216216216216217,0.09166666666666666,0.12184873949579832,0.036458333333333336,0.044444444444444446,0.0388739946380697,0.016713091922005572,0.03473227206946455,0.03614457831325301,0.0,0.011799410029498525,0.0,0.0
