Songs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
Tempo,58.0,63.0,66.0,69.0,72.0,84.0,96.0,100.0,104.0,108.0,112.0,132.0,72.0,72.0,78.0,80.0,84.0,92.0,92.0,96.0,96.0,96.0,96.0,104.0,80.0,76.0,80.0,92.0,96.0,66.0,66.0,66.0,72.0,72.0,80.0,84.0,88.0,92.0,96.0,100.0,100.0,104.0,76.0,84.0,92.0,96.0,96.0,104.0,104.0,108.0,108.0,112.0,112.0,116.0,60.0,63.0,69.0,72.0,76.0,76.0,76.0,76.0,76.0,76.0,80.0,80.0,80.0,84.0,88.0,96.0,100.0,104.0,108.0,126.0,60.0,63.0,63.0,66.0,66.0,69.0,69.0,69.0,72.0,72.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,80.0,80.0,80.0,84.0,92.0,92.0,92.0,69.0,69.0,78.0,90.0,99.0,103.0,108.0
Title,3 Tushiyya,4 Hal yanfa' al-wajid,5 Haniya ya qalbi,6 Lila 'ajib,7 Inna yuman,8 Khafidh Allah,10 Ya 'athuli,11 Ya Tal'a,12 In Kunta Lastu Ma'i,13 Hibbi ma'i fi dari,14 Ghaybatuk zadtni ashwaq,15 Hadha al-nahar,16 Tushiyya,17 Mahma nara,18 Ya laylu tul,19 Law rahu iblis,20 Law laka ma himtu wajda,21 Hal tusta'adu ayyamuna,22 Bidha al-hubb n'ammar qalbi,23 Hubbu al-habib,24 Al-shawqu 'allumni al-sahar,25 Tayyahtani bayna al-anam,26 Lamma bada minka al-qabul,27 Atani mina al-khuldi,28 Qalbi yakhaf,29 Bada'i'u al-husni,30 Inna al-muluka,31 Ya sura qamar,32 Wa nashkuru fi dha al-maqam,33 Tushiyya,34 Lamu al-'idhari,35 Abshir bil-hana,36 Allah Ya Rabbi,37 Hal tusta'adu ayyamuna bil-khaliji,38 Bi-Allah ya tabiba al-hawa,39 Binta,40 Qam min nu'asuh,41 'Aqaribu al-Asdhagh,42 Malihu al-Muhayya,43 Qalbi Hasal,44 Ya qalbi bushra,45 Ma'ani al-Hawa,46 Umna' raqadi,47 Ya qalbi tasabbar,48 Ma ladhdhatu al-furjah,49 Nahwa mina al-ghizlan,50 Law laka ma himtu wajda,51 Ya 'ajbi,52 Ihtakam fiyya,53 Ya nadimi,54 Faha al-banafsaj,55 Hubbik amira al-milah,56 Nahwa al-hajiba al-akhal,57 Sahib mabsam,58 Buh bil-ghara mi,59 Fiq ya nadim,60 Man malak 'aqli rahin,61 Qad zara man nahwah,62 Umun lam,63 Ahi 'ala sa'a,64 Ya sa'd min a'tah,65 Jami' man dkhal,66 Ya malih,67 Qalbi yakhaf mina al-gharam,68 Ya al-'akfa fi smawi,69 Law kan shawqi,70 Inna wajdi,71 Ya da'ifa al-jufun,72 Ghazal,73 Kullu shay lahu antiha' wahadu,74 Afdi ghazalan,75 Qalbi tmkan bal-nadhra,76 Fi wasfihi al-asna,77 Akamul al-bha,77 Tushiyya,78 Allaylu layllu 'ajib,79 Ana qad 'aya sabri,80 Qalbi tarahu yafrah,81 Katamtu al-mahabbah sinin,82 Tushiyya (interlude),83 Ya tal'a al-badri,84 Wa fi wisalika,85 Fadahta bil-muhayya,86 Nahwa mina al-ghizlan,87 al-Hubb 'sakruh abtal,88 Fi 'ishqati hara al-tibib,89 Yaquluna fi al-bustani,90 Wa muhafhafin,91 al-Laym la tlumni,92 Walaw annani,93 Kulla yawmin,94 Ya man idha aqbala,95 Tushiyya (interlude),96 Ahin min law'a,97 Jad 'iliyya burdah,98 Tushiyya (interlude),99 Aw hashta mud ghibta,100 Ayyaha al-sa'ilu,101 Salu taj al-mlah,102 Tushiyya (interlude),103 Imshi ya rasula,104 Tushiyya (interlude),105 Ya muqabil,106 Ya man malakni 'abda,107 Tayyahtani bayna al-anam,108 Qum tara al-rawda,109 Iktasa bal-jamal,110 Aya fadiha al-badri
Movement,Basit,Basit,Basit,Basit,Basit,Basit,Basit,Basit,Basit,Basit,Basit,Basit,al-Qa'im wa nusf,al-Qa'im wa nusf,al-Qa'im wa nusf,al-Qa'im wa nusf,al-Qa'im wa nusf,al-Qa'im wa nusf,al-Qa'im wa nusf,al-Qa'im wa nusf,al-Qa'im wa nusf,al-Qa'im wa nusf,al-Qa'im wa nusf,al-Qa'im wa nusf,al-Qa'im wa nusf,al-Qa'im wa nusf,al-Qa'im wa nusf,al-Qa'im wa nusf,al-Qa'im wa nusf,al-Batayhi,al-Batayhi,al-Batayhi,al-Batayhi,al-Batayhi,al-Batayhi,al-Batayhi,al-Batayhi,al-Batayhi,al-Batayhi,al-Batayhi,al-Batayhi,al-Batayhi,al-Batayhi,al-Batayhi,al-Batayhi,al-Batayhi,al-Batayhi,al-Batayhi,al-Batayhi,al-Batayhi,al-Batayhi,al-Batayhi,al-Batayhi,al-Batayhi,al-Darj,al-Darj,al-Darj,al-Darj,al-Darj,al-Darj,al-Darj,al-Darj,al-Darj,al-Darj,al-Darj,al-Darj,al-Darj,al-Darj,al-Darj,al-Darj,al-Darj,al-Darj,al-Darj,al-Darj,al-Quddam,al-Quddam,al-Quddam,al-Quddam,al-Quddam,al-Quddam,al-Quddam,al-Quddam,al-Quddam,al-Quddam,al-Quddam,al-Quddam,al-Quddam,al-Quddam,al-Quddam,al-Quddam,al-Quddam,al-Quddam,al-Quddam,al-Quddam,al-Quddam,al-Quddam,al-Quddam,al-Quddam,al-Quddam,al-Quddam,al-Quddam,al-Quddam,al-Quddam,al-Quddam,al-Quddam,al-Quddam,al-Quddam,al-Quddam
